"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1403	RCFD1406	RCFD1407	RCFD1583	RCFD1594	RCFD1597	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDC226	RCFDC240	RCFDC241	RCFDC410	RCFDC411	RCFDF166	RCFDF167	RCFDF168	RCFDF169	RCFDF170	RCFDF171	RCFDHK26	RCFDHK27	RCFDHK28	RCFDK036	RCFDK037	RCFDK038	RCFDK039	RCFDK040	RCFDK041	RCFDK042	RCFDK043	RCFDK044	RCFDK087	RCFDK088	RCFDK089	RCFDK102	RCFDK103	RCFDK104	RCFDK120	RCFDK121	RCFDK122	RCFDK123	RCFDK124	RCFDK125	RCFDK126	RCFDK127	RCFDK128	RCFDK138	RCFDK139	RCFDK140	RCFDK213	RCFDK214	RCFDK215	RCFDK216	RCFDK217	RCFDK218	RCFDK274	RCFDK275	RCFDK276	RCFDK277	RCFDK278	RCFDK279	RCFDK280	RCFDK281	RCFDK282	RCFDL183	RCFDL184	RCFDL185	RCFDL186	RCFDL187	RCFDL188	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1403	RCON1406	RCON1407	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3505	RCON3506	RCON3507	RCON5380	RCON5381	RCON5382	RCON5398	RCON5399	RCON5400	RCON5459	RCON5460	RCON5461	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB834	RCONB835	RCONB836	RCONC226	RCONC229	RCONC230	RCONC236	RCONC237	RCONC238	RCONC239	RCONC240	RCONC241	RCONC410	RCONC411	RCONF166	RCONF167	RCONF168	RCONF172	RCONF173	RCONF174	RCONF175	RCONF176	RCONF177	RCONF178	RCONF179	RCONF180	RCONF181	RCONF182	RCONF183	RCONF661	RCONF662	RCONF663	RCONHK26	RCONHK27	RCONHK28	RCONK036	RCONK037	RCONK038	RCONK039	RCONK040	RCONK041	RCONK042	RCONK043	RCONK044	RCONK045	RCONK046	RCONK047	RCONK048	RCONK049	RCONK050	RCONK051	RCONK052	RCONK053	RCONK054	RCONK055	RCONK056	RCONK057	RCONK058	RCONK059	RCONK060	RCONK061	RCONK062	RCONK063	RCONK064	RCONK065	RCONK066	RCONK067	RCONK068	RCONK069	RCONK070	RCONK071	RCONK087	RCONK088	RCONK089	RCONK102	RCONK103	RCONK104	RCONK105	RCONK106	RCONK107	RCONK108	RCONK109	RCONK110	RCONK111	RCONK112	RCONK113	RCONK114	RCONK115	RCONK116	RCONK117	RCONK118	RCONK119	RCONK120	RCONK121	RCONK122	
	LNS SECD BY RE TO NONUS ADR,PAS DU30	LNS SECD BY RE TO NONUS ADR,PAS DU90	LNS SECD BY RE TO NONUS ADR,NONACCRL	C&I LNS TO US ADDRS,PAS DU 30-89 DYS	C&I LNS TO US ADDRS,PAS DU 90 DYS OR	C&I LNS TO US ADDRS,NONACCRUAL	C&I LNS TO NONUS ADR,PAS DU 30-89 DY	C&I LNS TO NONUS ADR,PAS DU 90 DYS	C&I LNS TO NONUS ADR,NONACCRUAL	TOTAL, NONACCRUAL	TOTAL, PAST DUE 30-89 DAYS, ACCRUING	TOTAL, PAST DUE 90 OR MORE, ACCRUING	LOANS TO FARMERS, NONACCRUAL	LN TO FRMERS,PAST 30-89 DYS, ACCRUIN	LN TO FRMERS,PAST 90 OR MORE,ACCRUIN	OTH ASSETS-PAST DUE 30-89 DYS, ACCRG	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	OTHER ASSETS-NONACCRUAL	REPLMT COST OF CONTRCTS-PAS DU 30-89	REPLMT COST OF CONTRCTS-PAS DU 90 DY	LNS TO US BKS,ETC.-PAST DU 30-89 DYS	LNS TO US BKS,ETC.-PAST DU 90 DYS OR	LNS TO US BKS,ETC.-NONACCRUAL	LNS TO FOREIGN BKS-PAST DU 30-89 DYS	LNS TO FOREIGN BKS-PAST DU 90 DYS OR	LNS TO FOREIGN BKS-NONACCRUAL	LNS TO FGN GOV,ETC.-PAS DU 30-89 DYS	LNS TO FGN GOV,ETC.-PAS DU 90 DYS OR	LNS TO FGN GOV,ETC.-NONACCRUAL	ALL OTHER LOANS-PAST DU 30-89 DAYS	ALL OTHER LOANS-PAST DU 90 DYS OR MO	ALL OTHER LOANS-NONACCRUAL	COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG	COMMCL RE,ETC.-PAST DUE 90DYS OR MOR	COMMCL RE,ETC.-NONACCRUAL	PAST DUE(30-89DA): CREDIT CARD LOANS	PAST DUE(>=90DAY): CREDIT CARD LOANS	PAST DUE(NONACCR): CREDIT CARD LOANS	LOANS & LEASES HLD FOR SALE-NONACCRL	LNS & LEASES H-F-S PA DU 30-89 DYS	LNS & LEASES H-F-S PA DU 90 DYS MORE	ADDITIONS TO NONACCRUAL ASSETS	N/ACCRUAL ASSETS SOLD DURING QUARTER	LSE INDVDL FOR HSHLD, FMLY, PRSNL 30	LSE INDVDL FOR HSHLD, FMLY, PRSNL > 	LSE INDVDL FOR HSHLD, FMLY, PRSNL NA	ALL OTHR LEASE PAST DUE 30-89 DAYS	ALL OTHR LEASE PAST DUE > 90 DAYS	ALL OTHR LEASE NONACCRUAL	TOTAL LOANS RESTRUCTURED IN TROUBLED	TOTAL LOANS RESTRUCTURED IN TROUBLED	TOTAL LOANS RESTRUCTURED IN TROUBLED	LN GUAR US , EXCLUD FDIC PD 30 - 89	LN GUAR US , EXCLUD FDIC PD 90	LN GUAR US , EXCLUD FDIC NACRL	GUAR LN EXCL REBOOK GNMA LN PD 30 - 	GUAR LN EXCL REBOOK GNMA LN PD 90	GUAR LN EXCL REBOOK GNMA LN NACRL	REBOOK GNMA LN REPURCH PD 30 - 89	REBOOK GNMA LN REPURCH PD 90	REBOOK GNMA LN REPURCH NACRL	LS SHR FDIC ALL OTHR LN LEASE PD 30 	LS SHR FDIC ALL OTHR LN LEASE PD 90	LS SHR FDIC ALL OTHR LN LEASE NACRL	LS SHR FDIC CVRD LS SHAR PD 30 - 89	LS SHR FDIC CVRD LS SHAR PD 90	LS SHR FDIC CVRD LS SHAR NACRL	LN RSTR CMRL IND LN US ADR PD 30 - 8	LN RSTR CMRL IND LN US ADR PD 90	LN RSTR CMRL IND LN US ADR NACRL	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	PAST DUE (30-89DA): LOANS FGN OFFICE	PAST DUE (>=90DAY): LOANS FGN OFFICE	PAST DUE (NONACCR): LOANS FGN OFFICE	P/D(30-89DA):LEASE FIN REC - DERIVED	P/D(>=90DAY):LEASE FIN REC - DERIVED	P/D(NONACCR):LEASE FIN REC - DERIVED	LNS SECD BY RE TO NONUS ADR,PAS DU30	LNS SECD BY RE TO NONUS ADR,PAS DU90	LNS SECD BY RE TO NONUS ADR,NONACCRL	C&I LNS TO NONUS ADR,PAS DU 30-89 DY	C&I LNS TO NONUS ADR,PAS DU 90 DYS	C&I LNS TO NONUS ADR,NONACCRUAL	TOTAL, NONACCRUAL	TOTAL, PAST DUE 30-89 DAYS, ACCRUING	TOTAL, PAST DUE 90 OR MORE, ACCRUING	LOANS TO FARMERS, NONACCRUAL	LN TO FRMERS,PAST 30-89 DYS, ACCRUIN	LN TO FRMERS,PAST 90 OR MORE,ACCRUIN	PAST DUE (30-89 DAYS): C&I LOANS	PAST DUE (>=90 DAYS): C&I LOANS	PAST DUE (NONACCRUAL):C&I LOANS	LNS SECD BY FARMLAND-PAST DUE 30-89	LNS SECD BY FARMLAND-PAST DUE 90DYS	LNS SECD BY FARMLAND-NONACCRUAL	LNS SECD BY MULTIFAMILY-PST DU 30-89	LNS SECD BY MULTIFAMILY-PST DU 90DYS	LNS SECD BY MULTIFAMILY-NONACCRUAL	OTH ASSETS-PAST DUE 30-89 DYS, ACCRG	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	OTHER ASSETS-NONACCRUAL	LNS TO FOREIGN BKS-PAST DU 30-89 DYS	LNS TO FOREIGN BKS-PAST DU 90 DYS OR	LNS TO FOREIGN BKS-NONACCRUAL	RVLVG,OPEN-END LNS-PAST DU 30-89 DYS	RVLVG,OPEN-END LNS-PAST DU 90 DYS OR	RVLVG,OPEN-END LNS-NONACCRUAL	ALL OTHER LOANS-PAST DU 30-89 DAYS	ALL OTHER LOANS-PAST DU 90 DYS OR MO	ALL OTHER LOANS-NONACCRUAL	COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG	COMMCL RE,ETC.-PAST DUE 90DYS OR MOR	COMMCL RE,ETC.-NONACCRUAL	PAST DUE(30-89DA): CREDIT CARD LOANS	PAST DUE(>=90DAY): CREDIT CARD LOANS	PAST DUE(NONACCR): CREDIT CARD LOANS	P/D(30-89DA):LOANS TO DI'S - DERIVED	PD GE 90 DAY LN TO DI DERIVED	P/D(NONACCR):LOANS TO DI - DERIVED	LOANS & LEASES HLD FOR SALE-NONACCRL	CLSD-END LNS:SCRD 1ST LIENS-NONACCRL	CLSD-ED LNS:SCRD JR LIENS-NONACCRUAL	CLSD-ED LNS:SEC 1 LIENS PA DU 30-89	CLSD-ED LNS:SEC 1 LIENS PA DU 90 MOR	CLSD-ED LNS:SEC JR LIENS PA DU 30-89	CLSD-ED LNS:SEC JR LIENS PA DU 90 MO	LNS & LEASES H-F-S PA DU 30-89 DYS	LNS & LEASES H-F-S PA DU 90 DYS MORE	ADDITIONS TO NONACCRUAL ASSETS	N/ACCRUAL ASSETS SOLD DURING QUARTER	LSE INDVDL FOR HSHLD, FMLY, PRSNL 30	LSE INDVDL FOR HSHLD, FMLY, PRSNL > 	LSE INDVDL FOR HSHLD, FMLY, PRSNL NA	1-4  FAM RES CNSTRCTN LN PD 31-89 DA	OTHER CNSTRCTN LN PAST DUE 31-89 DAY	1-4  FAM RES CNSTRCTN LN PD > 90 DAY	OTHER CNSTRCTN LN PAST DUE > 90 DAYS	1-4  FAM RES CNSTRCTN LN NONACCRUAL	OTHER CNSTRCTN LN NONACCRUAL	LN SCRD BY OWNR OCCPD NFARM NRES 30-	LN SECURED BY OTHR NFARM NONRES PRPR	LN SCRD BY OWNR OCCPD NFARM NRES > 9	LN SCRD BY OTHR NFARM NRES PRPRTY > 	LN SCRD BY OWNR OCCPD NFARM NRES NON	LN SCRD BY OTHR NFARM NRES PRPRTY NA	RSTRCTD LN SCD 1-4 RES PD 30 - 89	RSTRCTD LN SCD 1-4 RES PD 90 DAYS	RSTRCTD LN SCD 1-4 RES NONACCRUAL	TOTAL LOANS RESTRUCTURED IN TROUBLED	TOTAL LOANS RESTRUCTURED IN TROUBLED	TOTAL LOANS RESTRUCTURED IN TROUBLED	LN GUAR US , EXCLUD FDIC PD 30 - 89	LN GUAR US , EXCLUD FDIC PD 90	LN GUAR US , EXCLUD FDIC NACRL	GUAR LN EXCL REBOOK GNMA LN PD 30 - 	GUAR LN EXCL REBOOK GNMA LN PD 90	GUAR LN EXCL REBOOK GNMA LN NACRL	REBOOK GNMA LN REPURCH PD 30 - 89	REBOOK GNMA LN REPURCH PD 90	REBOOK GNMA LN REPURCH NACRL	LS SHR FDIC 1-4 FAM RES PD 30 - 89	LS SHR FDIC 1-4 FAM RES PD 90	LS SHR FDIC 1-4 FAM RES NACRL	LS SHR FDIC OTHR CNSTRTN LN PD 30 - 	LS SHR FDIC OTHR CNSTRTN LN PD 90	LS SHR FDIC OTHR CNSTRTN LN NACRL	LS SHR FDIC SECD FARM PD 30 - 89	LS SHR FDIC SECD FARM PD 90	LS SHR FDIC SECD FARM NACRL	LS SHR FDIC SECD FAM OPEN LN 30 - 89	LS SHR FDIC SECD FAM OPEN LN PD 90	LS SHR FDIC SECD FAM OPEN LN NONACRL	LS SHR FDIC CLS END FAM SECD 1ST 30-	LS SHR FDIC CLS END FAM SECD 1ST PD 	LS SHR FDIC CLS END FAM SECD 1ST NAC	LS SHR FDIC CLS END FAM SECD JR 30-8	LS SHR FDIC CLS END FAM SECD JR PD 9	LS SHR FDIC CLS END FAM SECD JR NACR	LS SHR FDIC LN SECD MULTI PD 30 - 89	LS SHR FDIC LN SECD MULTI PD 90	LS SHR FDIC LN SECD MULTI NACRL	LS SHR FDIC LN SECD OWN NFARM PD 30 	LS SHR FDIC LN SECD OWN NFARM PD 90	LS SHR FDIC LN SECD OWN NFARM NACRL	LS SHR FDIC LN SECD NFARM PD 30 - 89	LS SHR FDIC LN SECD NFARM PD 90	LS SHR FDIC LN SECD NFARM NACRL	LS SHR FDIC ALL OTHR LN LEASE PD 30 	LS SHR FDIC ALL OTHR LN LEASE PD 90	LS SHR FDIC ALL OTHR LN LEASE NACRL	LS SHR FDIC CVRD LS SHAR PD 30 - 89	LS SHR FDIC CVRD LS SHAR PD 90	LS SHR FDIC CVRD LS SHAR NACRL	LN RSTR 1-4 FAM CNSTRTN LN PD 30 - 8	LN RSTR 1-4 FAM CNSTRTN LN  PD 90	LN RSTR 1-4 FAM CNSTRTN LN NACRL	LN RSTR OTHR CNSTRTN LN 30 - 89	LN RSTR OTHR CNSTRTN LN PD 90	LN RSTR OTHR CNSTRTN LN NACRL	LN RSTR SECD CNSTRTN MULTI PD 30 - 8	LN RSTR SECD CNSTRTN MULTI PD 90	LN RSTR SECD CNSTRTN MULTI NACRL	LN RSTR SECD NONFARM OWN PD 30 - 89	LN RSTR SECD NONFARM OWN PD 90	LN RSTR SECD NONFARM OWN NACRL	LN RSTR SECD NONFARM NONRES PD 30 - 	LN RSTR SECD NONFARM NONRES PD 90	LN RSTR SECD NONFARM NONRES NACRL	LN RSTR CMRL IND LN US ADR PD 30 - 8	LN RSTR CMRL IND LN US ADR PD 90	LN RSTR CMRL IND LN US ADR NACRL	
37																																																																																																								0	0	0							73	501	25				0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		43	0	390	16	0	0								0	5	0	0	0	0	0	4	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0																																																				
242																																																																																																								0	0	0							0	87	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	81	5	0	0								0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0																																																				
279																																																																																																								0	0	0							962	1140	0				41	0	30	0	0	209	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		671	52	463	0	0	0								560	12	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0																																																				
354																																																																																																								0	0	0							0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0																																																				
457																																																																																																								0	0	0							216	94	103	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		204	8	43	86	0	0								0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0																																																				
505																																																																																																								0	0	0							1299	2424	1167	0	0	0	33	0	362	0	0	0	0	167	0	0	0	0				71	0	37	0	0	1	0	0	0	0	0	0	0	0	0		754	0	400	867	11	0								1093	0	0	0	0	0	326	135	122	0	145	0				99	0	166	0	0	0	0	0	0	0	0	0																																																				
1155																																																																																																								0	0	0							162	68	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		131	0	36	0	29	0								0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0																																																				
1351																																																																																																								0	0	0							2090	4748	1705	0	0	0	1715	434	156	1384	103	506	0	0	0	0	0	0				0	0	0	42	20	76	0	0	0	0	0	0	0	0	0		405	0	85	645	0	0								0	0	0	0	0	0	909	0	202	0	734	0				0	0	0	0	0	0	0	0	0	0	0	0																																																				
1454																																																																																																								0	0	0							647	965	0	0	0	0	67	0	20	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	276	0	0	0								0	0	0	0	0	0	75	536	0	0	625	0				0	0	19	0	0	0	0	0	0	0	0	0																																																				
